id,net,status_abbrev,pad_name,mission_name,mission_orbit_abbrev,configuration_name,reused,launcher_serial_number,landing_location_abbrev,landing_type_abbrev,landing_attempt,landing_success,year,year_month,starlink_commercial
d8c7fbe0-6a32-42dc-8c24-f1c632adc8b5,2022-03-09 13:45:00,Success,Space Launch Complex 40,Starlink Group 4-10,LEO,Falcon 9,[True],['B1052'],['ASOG'],['ASDS'],[True],[True],2022,2022-03,Starlink
861795c5-e694-4d3e-b22f-a356a31cd5d8,2022-03-03 14:25:00,Success,Launch Complex 39A,Starlink Group 4-9,LEO,Falcon 9,[True],['B1060'],['JRTI'],['ASDS'],[True],[True],2022,2022-03,Starlink
b7b24770-f9dd-40eb-adad-da95e917e55d,2022-02-25 17:12:10,Success,Space Launch Complex 4E,Starlink Group 4-11,LEO,Falcon 9,[True],['B1063'],['OCISLY'],['ASDS'],[True],[True],2022,2022-02,Starlink
398e713f-5daa-4fb9-a70a-0b8654baf5d1,2022-02-21 14:44:20,Success,Space Launch Complex 40,Starlink Group 4-8,LEO,Falcon 9,[True],['B1058'],['ASOG'],['ASDS'],[True],[True],2022,2022-02,Starlink
de39dd1a-0f72-4afd-a6b9-1b848b246071,2022-02-03 18:13:00,Success,Launch Complex 39A,Starlink Group 4-7,LEO,Falcon 9,[True],['B1061'],['ASOG'],['ASDS'],[True],[True],2022,2022-02,Starlink
2e650790-ff3e-434a-b028-a6a1a13cfc94,2022-02-02 20:27:26,Success,Space Launch Complex 4E,NROL 87,SSO,Falcon 9,[False],['B1071'],['LZ-4'],['RTLS'],[True],[True],2022,2022-02,Commercial
23229c2b-abb7-4b94-b624-981a9adc88d2,2022-01-31 23:11:14,Success,Space Launch Complex 40,CSG-2,SSO,Falcon 9,[True],['B1052'],['LZ-1'],['RTLS'],[True],[True],2022,2022-01,Commercial
50ac28f2-024f-442f-837d-dab8107304ec,2022-01-19 02:02:40,Success,Launch Complex 39A,Starlink Group 4-6,LEO,Falcon 9,[True],['B1060'],['ASOG'],['ASDS'],[True],[True],2022,2022-01,Starlink
c660df6f-7e33-4c90-a0f5-b27c8cb4c974,2022-01-13 15:25:39,Success,Space Launch Complex 40,Transporter 3 (Dedicated SSO Rideshare),SSO,Falcon 9,[True],['B1058'],['LZ-1'],['RTLS'],[True],[True],2022,2022-01,Commercial
3ddb1934-2b57-489b-b5d2-31d4990604eb,2022-01-06 21:49:10,Success,Launch Complex 39A,Starlink Group 4-5,LEO,Falcon 9,[True],['B1062'],['ASOG'],['ASDS'],[True],[True],2022,2022-01,Starlink
